"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C6,C11","4","100nf","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C3,C10","2","10uf/16v","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C7","1","10uf","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C12","1","47nf","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"D1","1","1N5819WS","","","","Diode_SMD:D_SOD-323","https://datasheet.lcsc.com/lcsc/2204281430_Guangdong-Hottech-1N5819WS_C191023.pdf"
"J6","1","~","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"J8,J9","2","~","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~"
"J10","1","~","","","","Library:TP4056","~"
"Q1,Q2","2","AO3401A","","","","mosfet:SOT23-3",""
"R11,R12,R15,R18","4","100k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R13,R14","2","1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R16,R17","2","0E","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"TP1,TP2,TP3","3","TestPoint","","","","TestPoint:TestPoint_Pad_1.5x1.5mm",""
"U3","1","RA-02_LORA","","","","RF_Module:Ai-Thinker-Ra-01-LoRa",""
"U4","1","ESP32-C3_SUPERMINI_TH","","","","esp32c3:MODULE_ESP32-C3_SUPERMINI_TH",""
"U5","1","MCP1700x-120xxMB","","","","Package_TO_SOT_SMD:SOT-89-3","http://ww1.microchip.com/downloads/en/DeviceDoc/20001826D.pdf"
